"10826: Population, by region, age, contents and year"

"region";"age";"Persons 2024"
"030101a Gamle Oslo";"57 years";570
"030101a Gamle Oslo";"58 years";546
"030101a Gamle Oslo";"59 years";553
"030101a Gamle Oslo";"60 years";512
"030101a Gamle Oslo";"61 years";494
"030101a Gamle Oslo";"62 years";481
"030101a Gamle Oslo";"63 years";425
"030101a Gamle Oslo";"64 years";379
"030101a Gamle Oslo";"65 years";422
"030101a Gamle Oslo";"66 years";392
"030101a Gamle Oslo";"67 years";355
"030101a Gamle Oslo";"68 years";400
"030101a Gamle Oslo";"69 years";336
"030101a Gamle Oslo";"70 years";315
"030101a Gamle Oslo";"71 years";272
"030101a Gamle Oslo";"72 years";277
"030101a Gamle Oslo";"73 years";280
"030101a Gamle Oslo";"74 years";243
"030101a Gamle Oslo";"75 years";238
"030101a Gamle Oslo";"76 years";216
"030101a Gamle Oslo";"77 years";210
"030101a Gamle Oslo";"78 years";184
"030101a Gamle Oslo";"79 years";155
"030101a Gamle Oslo";"80 years";134
"030101a Gamle Oslo";"81 years";103
"030101a Gamle Oslo";"82 years";75
"030101a Gamle Oslo";"83 years";91
"030101a Gamle Oslo";"84 years";48
"030101a Gamle Oslo";"85 years";64
"030101a Gamle Oslo";"86 years";48
"030101a Gamle Oslo";"87 years";45
"030101a Gamle Oslo";"88 years";32
"030101a Gamle Oslo";"89 years";25
"030101a Gamle Oslo";"90 years";18
"030101a Gamle Oslo";"91 years";24
"030101a Gamle Oslo";"92 years";22
"030101a Gamle Oslo";"93 years";18
"030101a Gamle Oslo";"94 years";12
"030101a Gamle Oslo";"95 years";5
"030101a Gamle Oslo";"96 years";11
"030101a Gamle Oslo";"97 years";10
"030101a Gamle Oslo";"98 years";5
"030101a Gamle Oslo";"99 years";7
"030101a Gamle Oslo";"100 years";3
"030101a Gamle Oslo";"101 years";3
"030101a Gamle Oslo";"102 years";1
"030101a Gamle Oslo";"103 years";0
"030101a Gamle Oslo";"104 years";3
"030101a Gamle Oslo";"105 years or older";7
"030102a Grünerløkka";"0 years";974
"030102a Grünerløkka";"1 year";757
"030102a Grünerløkka";"2 years";773
"030102a Grünerløkka";"3 years";598
"030102a Grünerløkka";"4 years";543
"030102a Grünerløkka";"5 years";463
"030102a Grünerløkka";"6 years";458
"030102a Grünerløkka";"7 years";453
"030102a Grünerløkka";"8 years";430
"030102a Grünerløkka";"9 years";428
"030102a Grünerløkka";"10 years";383
"030102a Grünerløkka";"11 years";369
"030102a Grünerløkka";"12 years";417
"030102a Grünerløkka";"13 years";354
"030102a Grünerløkka";"14 years";369
"030102a Grünerløkka";"15 years";321
"030102a Grünerløkka";"16 years";350
"030102a Grünerløkka";"17 years";339
"030102a Grünerløkka";"18 years";362
"030102a Grünerløkka";"19 years";389
"030102a Grünerløkka";"20 years";646
"030102a Grünerløkka";"21 years";805
"030102a Grünerløkka";"22 years";1022
"030102a Grünerløkka";"23 years";1317
"030102a Grünerløkka";"24 years";1577
"030102a Grünerløkka";"25 years";1832
"030102a Grünerløkka";"26 years";2146
"030102a Grünerløkka";"27 years";2505
"030102a Grünerløkka";"28 years";2522
"030102a Grünerløkka";"29 years";2484
"030102a Grünerløkka";"30 years";2496
"030102a Grünerløkka";"31 years";2403
"030102a Grünerløkka";"32 years";2291
"030102a Grünerløkka";"33 years";2211
"030102a Grünerløkka";"34 years";1933
"030102a Grünerløkka";"35 years";1757
"030102a Grünerløkka";"36 years";1552
"030102a Grünerløkka";"37 years";1403
"030102a Grünerløkka";"38 years";1263
"030102a Grünerløkka";"39 years";1186
"030102a Grünerløkka";"40 years";1084
"030102a Grünerløkka";"41 years";1066
"030102a Grünerløkka";"42 years";941
"030102a Grünerløkka";"43 years";962
"030102a Grünerløkka";"44 years";825
"030102a Grünerløkka";"45 years";857
"030102a Grünerløkka";"46 years";729
"030102a Grünerløkka";"47 years";718
"030102a Grünerløkka";"48 years";736
"030102a Grünerløkka";"49 years";720
"030102a Grünerløkka";"50 years";645
"030102a Grünerløkka";"51 years";688
"030102a Grünerløkka";"52 years";619
"030102a Grünerløkka";"53 years";650
"030102a Grünerløkka";"54 years";576
"030102a Grünerløkka";"55 years";531
"030102a Grünerløkka";"56 years";524
"030102a Grünerløkka";"57 years";538
"030102a Grünerløkka";"58 years";447
"030102a Grünerløkka";"59 years";454
"030102a Grünerløkka";"60 years";426
"030102a Grünerløkka";"61 years";417
"030102a Grünerløkka";"62 years";393
"030102a Grünerløkka";"63 years";356
"030102a Grünerløkka";"64 years";341
"030102a Grünerløkka";"65 years";314
